Name,Yearly Performance,Volatility
PRPO,-3.72093023,13.5
PRQR,100.2544529,4.23280423
PRTA,351.4979757,6.10045662
PRTG,95.19408503,10.21042563
PRTK,-17.96116505,4.06504065
PRVB,-55.27009223,14.30948419
PSNL,-38.35762531,5.78313253
PSTI,-70.28753994,7.29927007
PSTV,-28.26086957,4.90797546
PSTX,-35.04968383,3.39462518
PTCT,-35.79047922,4.990902
PTGX,67.93229643,6.82143881
PTN,-4.7029703,6.10587002
PTPI,-57.39348371,29.7541813
PULM,-29.09090909,6.24591663
PYPD,-23.29896907,10.19283747
PYXS,-8.56060606,6.20689655
QDEL,-23.29907503,3.70847412
QGEN,19.94388085,8.32122093
QLGN,-69.85915493,2.85714286
QLI,-66.4,4.53172205
QNRX,-26.171875,7.7807971
QTNT,-65.41598695,16.83673469
QTRX,12.79899287,6.39737147
QURE,-30.02928588,2.85058978
RAIN,6.64556962,11.57347204
RANI,183.7272727,9.85915493
RAPT,121.3204119,5.8428851
RARE,-33.73544442,3.00532589
RBOT,34.6749226,2.71238207
RCEL,-27.99116998,1.61490683
RCKT,-20.34985423,11.17883701
RCOR,-8.16326531,5.05984028
RCUS,60.1029601,3.89052858
RDHL,-47.03703704,6.71495327
RDUS,15.71782178,2.04631125
REGN,19.43695996,3.07428749
REPH,-12.56544503,7.8313253
REPL,-31.8544265,5.71338384
RETA,-43.44325839,3.72237717
RGC,151.9047619,5.42135667
RGEN,39.01493617,4.71931862
RGLS,-24.81481481,5.79491056
RGNX,-13.00546448,6.59821534
RIGL,5.81818182,5.90277778
RLAY,-34.14588761,2.88818988
RLMD,-37.97504254,7.63757116
RMD,24.43614289,2.95187411
RMED,-42.64069264,11.2
RMTI,-50.32004956,10.30368764
RNA,-5.49255847,10.77421997
RNAZ,-44.9905482,11.38790036
RNXT,-3.30578512,18.51721146
RPHM,-41.32469402,7.57439931
RPRX,-0.47404598,5.94227504
RPTX,0.43087971,5.65543071
RSLS,-17.97752809,5.11627907
RUBY,160.7279694,4.35114504
RVMD,-19.77772165,7.40251157
RVNC,-44.5664521,6.00071865
RVP,-16.78252234,11.11111111
RVPH,-65.77981651,12.93868106
RWLK,27.65957447,8.84353741
RXRX,-36.10223642,8.3199572
RYTM,-42.33409611,9.00900901
SAGE,-43.74410774,2.59422418
SANA,-39.82905983,4.74383302
SAVA,675.9748428,10.41883004
SBTX,-65.92,6.40870617
SCPH,-41.79265659,6.00375235
SCPS,-40.2027027,5.34124629
SCYX,22.08480565,14.08450704
SEEL,163.4182538,4.87804878
SEER,-46.20970599,6.14919355
SELB,9.9378882,4.19681621
SESN,3.57142857,4.34782609
SGEN,5.33579719,3.2819788
SGHT,-32.74626866,13.64373407
SGMO,-13.42756184,2.38095238
SGTX,-85.94019551,4.73251029
SHC,-5.65737052,2.93928342
SIBN,-5.36711035,4.69416785
SIEN,-1.66666667,11.25265393
SIGA,-0.12886598,2.61780105
SILK,-17.87191792,3.25186831
SINT,-40.12962963,7.36842105
SIOX,-20.64220183,10.58823529
SKIN,158.4894695,5.76779026
SLDB,-35.8662614,5.33980583
SLGL,15.58935361,3.18191004
SLNO,-61.2893401,3.30666667
SLS,166.5441177,8.08510638
SMLR,23.76769795,11.57755192
SMMT,11.5720524,5.2
SNDX,-18.88297872,9.04317386
SNES,13.13868613,4.66666667
SNGX,-56.375,1.55400155
SNOA,-28.97800776,3.8961039
SNPX,224.7093023,9.04977376
SNSE,-48.0952381,4.25311203
SOLY,184.6575343,2.65878877
SONN,-75.61065574,5.48717949
SONX,6.63043478,16.50893796
SPNE,5.51236749,3.4006734
SPPI,-52.83018868,3.06122449
SPRB,-87.40286299,44.71947195
SPRO,11.81262729,2.79975654
